GENDER,GRADE (Fundamentals),GRADE (Intermediate),Proficiency in Coding,WORK PREFERENCE,MAJOR
male,1.25,1.25,4,freelance,smp
male,1.5,1.75,4,freelance,wamd
male,2,2.25,3,bpo,smp
male,1.25,1.5,3,programmer,wamd
male,2.5,2.75,3,bpo,smp
male,1.75,2,3,bpo,smp
male,2.25,2.5,3,bpo,smp
male,1.25,1.5,4,freelance,wamd
male,2,2,3,bpo,smp
male,1.5,1.75,5,programmer,wamd
male,2,1.25,3,programmer,wamd
male,1.25,1.25,5,freelance,wamd
male,2,1.75,3,programmer,wamd
male,2.5,1.5,2,freelance,wamd
male,2,1.75,3,programmer,wamd
male,2,1.75,3,bpo,smp
female,2.25,2,3,bpo,smp
male,1.75,2,4,programmer,wamd
male,2.25,2.75,3,bpo,smp
male,2,2.75,3,freelance,smp
female,3,2.75,2,bpo,smp
male,2.5,2.25,3,bpo,smp
male,2.75,2.75,3,freelance,smp
male,3,2.75,3,freelance,smp
male,2.75,2.5,3,bpo,smp
female,1.75,1.5,4,programmer,wamd
female,1.75,2,3,freelance,wamd
female,2,1.75,3,freelance,wamd
male,2.75,2,2,bpo,smp
female,2.25,2,2,bpo,smp
female,2.25,1.75,3,bpo,smp
male,1.75,1.75,4,freelance,wamd
male,1.5,1.75,4,freelance,wamd
male,1.75,1.5,4,programmer,wamd
male,2.25,2.5,3,freelance,wamd
female,2.25,2,3,freelance,wamd
male,3,2.75,2,bpo,smp
male,2.25,1.75,3,freelance,smp
female,1.75,1.5,4,programmer,wamd
male,3,2.5,2,programmer,wamd
male,2.5,2,3,bpo,smp
male,2.75,2,3,freelance,smp
female,3,2.75,2,bpo,smp
female,2.75,2.75,3,freelance,wamd
female,2.5,2,3,freelance,smp
female,2,1.75,3,bpo,smp
female,1.5,1.5,4,freelance,wamd
female,1.75,1.5,3,bpo,smp
male,2,1.75,3,bpo,smp
female,2.5,2,3,bpo,smp
male,2,2,3,freelance,smp
male,2,1.75,3,bpo,smp
male,2.25,2,3,bpo,smp
male,3,2.25,2,freelance,smp
female,2,1.75,3,bpo,smp
female,1.5,1.5,3,programmer,wamd
male,1.75,1.75,3,programmer,wamd
male,1.75,1.5,3,freelance,wamd
male,1.75,2,3,freelance,smp
male,1.75,1.5,3,freelance,smp
male,1.5,1.75,3,programmer,wamd
female,2,1.75,3,bpo,smp
male,1.75,2,3,freelance,smp
female,1.5,1.5,4,programmer,wamd
male,1.75,1.75,3,programmer,wamd
male,2.25,2,3,bpo,smp
male,2.5,2,3,freelance,smp
male,2.5,2,3,bpo,smp
female,2,1.75,3,bpo,smp
male,2,1.75,3,bpo,smp
male,2,1.75,3,freelance,smp
male,1.75,1.75,3,freelance,wamd
male,1.75,1.5,3,freelance,wamd
female,2.25,2,3,freelance,smp
male,2.5,2,3,freelance,smp
female,2.25,2,3,bpo,smp
female,2.5,1.75,3,freelance,smp
male,2,1.75,3,freelance,smp
male,1.75,1.75,4,freelance,wamd
male,1.75,1.75,3,bpo,smp
male,1.75,2,3,bpo,smp
male,1.5,1.5,4,programmer,wamd
female,1.75,1.75,3,programmer,wamd
male,2,1.75,3,freelance,smp
male,1.75,1.75,3,freelance,smp
male,2,1.75,3,bpo,smp
male,2.25,2,3,bpo,smp
female,2.5,2,3,freelance,smp
male,2,1.75,3,freelance,smp
female,1.75,1.75,3,freelance,wamd
male,1.75,2,3,freelance,smp
male,2.5,2,2,freelance,smp
male,2.5,2,2,freelance,smp
male,2,2,3,bpo,smp
male,2,2,3,freelance,smp
female,2,1.75,3,bpo,smp
female,1.75,2,3,freelance,smp
female,2,1.75,3,freelance,smp
female,1.75,1.75,3,freelance,wamd
male,2,2,3,freelance,smp